season,round,race_name,air_temp_mean,air_temp_max,track_temp_mean,track_temp_max,humidity_mean,wind_speed_mean,rained_during_race,rain_fraction_of_race
2022,21,São Paulo Grand Prix,23.0,25.1,46.0,53.5,76.1,1.4,0.0,0.0
2022,22,Abu Dhabi Grand Prix,28.6,29.7,34.3,39.0,61.7,2.6,0.0,0.0
2023,1,Bahrain Grand Prix,27.4,29.8,31.0,35.1,21.5,0.7,0.0,0.0
2023,2,Saudi Arabian Grand Prix,26.1,26.4,31.8,34.3,57.8,1.8,0.0,0.0
2023,3,Australian Grand Prix,17.4,18.1,30.1,35.4,54.2,1.1,0.0,0.0
2024,1,Bahrain Grand Prix,18.2,18.9,23.7,26.5,48.8,0.8,0.0,0.0
2024,2,Saudi Arabian Grand Prix,25.5,25.9,31.6,33.6,62.3,1.3,0.0,0.0
2024,3,Australian Grand Prix,20.6,22.0,38.4,39.6,44.5,1.0,0.0,0.0
2024,4,Japanese Grand Prix,21.7,22.7,37.5,40.5,43.4,2.2,0.0,0.0
2024,5,Chinese Grand Prix,18.6,19.1,29.8,32.3,66.1,1.7,0.0,0.0
2024,6,Miami Grand Prix,28.5,29.0,44.7,49.1,59.0,3.1,0.0,0.0
2024,7,Emilia Romagna Grand Prix,25.1,26.1,42.0,46.0,48.4,2.1,0.0,0.0
2024,8,Monaco Grand Prix,21.6,22.3,46.3,50.0,64.0,1.0,0.0,0.0
2024,9,Canadian Grand Prix,17.8,19.1,24.6,28.5,73.4,1.2,1.0,0.27
2024,10,Spanish Grand Prix,24.1,24.7,41.1,43.6,63.4,2.1,1.0,0.01
2024,11,Austrian Grand Prix,29.4,30.6,46.4,49.0,35.0,1.7,1.0,0.01
2024,12,British Grand Prix,15.8,16.8,27.7,37.9,67.3,1.3,1.0,0.35
2024,13,Hungarian Grand Prix,28.8,30.3,44.9,49.7,46.9,1.2,0.0,0.0
2024,14,Belgian Grand Prix,21.3,22.1,42.3,44.1,49.6,1.7,0.0,0.0
2024,15,Dutch Grand Prix,19.0,19.7,30.8,32.4,61.0,4.6,0.0,0.0
2024,16,Italian Grand Prix,33.1,34.1,49.3,54.6,32.3,1.5,0.0,0.0
2024,17,Azerbaijan Grand Prix,26.7,28.2,44.3,47.9,38.0,1.6,0.0,0.0
2024,18,Singapore Grand Prix,30.8,31.2,36.4,38.5,74.6,1.0,0.0,0.0
2024,19,United States Grand Prix,28.1,29.3,46.6,48.0,35.5,1.5,0.0,0.0
2024,20,Mexico City Grand Prix,19.9,21.2,35.6,40.2,51.1,2.2,0.0,0.0
2024,21,São Paulo Grand Prix,21.7,23.4,25.8,29.5,85.3,0.7,1.0,0.58
2024,22,Las Vegas Grand Prix,17.8,18.6,17.7,19.9,47.9,2.9,0.0,0.0
2024,23,Qatar Grand Prix,18.9,19.7,22.8,23.8,57.3,1.7,0.0,0.0
2024,24,Abu Dhabi Grand Prix,26.8,27.8,31.8,37.2,51.4,1.9,0.0,0.0
2025,1,Australian Grand Prix,15.7,16.6,18.9,19.4,78.4,3.5,1.0,0.33
2025,2,Chinese Grand Prix,27.2,28.1,35.8,43.0,18.2,2.2,0.0,0.0
2025,3,Japanese Grand Prix,14.4,14.7,20.5,23.0,76.4,1.2,0.0,0.0
2025,4,Bahrain Grand Prix,27.1,27.9,31.9,34.8,45.3,2.1,0.0,0.0
2025,5,Saudi Arabian Grand Prix,29.5,31.7,37.8,39.4,62.7,1.0,0.0,0.0
2025,6,Miami Grand Prix,26.6,28.0,38.7,45.2,63.0,1.0,1.0,0.03
2025,7,Emilia Romagna Grand Prix,24.0,24.3,42.7,45.9,38.3,3.2,0.0,0.0
2025,8,Monaco Grand Prix,22.2,22.9,43.3,45.2,52.5,1.0,0.0,0.0
2025,9,Spanish Grand Prix,29.1,30.0,48.5,50.4,54.6,1.6,0.0,0.0
2025,10,Canadian Grand Prix,24.0,25.6,49.3,50.4,28.0,1.0,1.0,0.01
2025,11,Austrian Grand Prix,30.3,31.3,49.2,51.9,32.0,1.6,0.0,0.0
2025,12,British Grand Prix,17.9,19.6,23.6,29.6,78.4,1.5,1.0,0.18
2025,13,Belgian Grand Prix,17.0,19.0,24.1,27.6,84.4,1.4,1.0,0.46
